query_idx,predicted_db_idx,score,match_type,overlap,xy_distance_m,has_gt_positive
0,2310,0.521951,TP,0.341579,2.534,True
1,2311,0.471795,TP,0.349143,2.296,True
2,1692,0.443902,TP,0.286625,6.14,True
3,2313,0.439791,TP,0.380137,2.826,True
4,1689,0.446237,TP,0.34627,6.305,True
5,-1,0.0,FN,0.0,0.0,True
6,-1,0.0,FN,0.0,0.0,True
7,-1,0.0,FN,0.0,0.0,True
8,-1,0.0,FN,0.0,0.0,True
9,-1,0.0,FN,0.0,0.0,True
10,2321,0.481928,TP,0.432589,2.566,True
11,2322,0.480663,TP,0.425109,2.818,True
12,2324,0.502703,TP,0.431,2.563,True
13,2325,0.509524,TP,0.435505,2.428,True
14,2326,0.561702,TP,0.451387,2.441,True
15,2327,0.429119,TP,0.463475,2.446,True
16,2328,0.532,TP,0.459431,2.473,True
17,2329,0.471774,TP,0.438813,2.539,True
18,2330,0.373494,TP,0.419461,2.662,True
19,2331,0.338645,TP,0.449215,3.055,True
20,2332,0.322581,TP,0.417507,3.552,True
21,2334,0.304147,TP,0.378051,3.746,True
22,2335,0.348178,TP,0.373312,3.284,True
23,2336,0.360976,TP,0.385524,2.449,True
24,2337,0.452962,TP,0.390792,1.367,True
25,2338,0.425703,TP,0.399166,1.135,True
26,2340,0.427007,TP,0.418749,2.527,True
27,2340,0.45749,TP,0.373465,2.524,True
28,-1,0.0,FN,0.0,0.0,True
29,-1,0.0,FN,0.0,0.0,True
30,2344,0.52381,TP,0.322165,3.976,True
31,2344,0.405063,TP,0.306261,3.213,True
32,-1,0.0,FN,0.0,0.0,True
33,182,0.352113,TP,0.243061,9.833,True
34,2347,0.407407,TP,0.314946,2.565,True
35,2348,0.457143,TP,0.315402,2.326,True
36,2349,0.503497,TP,0.322101,2.081,True
37,2350,0.550725,TP,0.327325,1.869,True
38,2351,0.373239,TP,0.296248,1.641,True
39,2352,0.390411,TP,0.288327,1.467,True
40,2353,0.414286,TP,0.291358,1.355,True
41,2354,0.390805,TP,0.298737,1.236,True
42,2354,0.327381,TP,0.293034,3.341,True
43,-1,0.0,FN,0.0,0.0,True
44,-1,0.0,FN,0.0,0.0,True
45,-1,0.0,FN,0.0,0.0,True
46,2359,0.401235,TP,0.286872,1.532,True
47,2359,0.426752,TP,0.264194,1.994,True
48,2360,0.456954,TP,0.271451,1.6,True
49,2361,0.462069,TP,0.284646,1.221,True
50,199,0.514706,TP,0.269415,6.289,True
51,2363,0.40625,TP,0.25496,0.863,True
52,2365,0.387255,TP,0.335264,2.711,True
53,2365,0.407035,TP,0.342713,0.649,True
54,2366,0.513761,TP,0.377198,1.131,True
55,2367,0.412935,TP,0.414481,1.623,True
56,2369,0.561086,TP,0.388209,2.779,True
57,2369,0.523404,TP,0.378794,2.832,True
58,206,0.445498,TP,0.35747,3.714,True
59,208,0.511628,TP,0.391927,2.617,True
60,208,0.482085,TP,0.434668,1.644,True
61,209,0.557554,TP,0.3957,1.066,True
62,210,0.482072,TP,0.377072,0.934,True
63,211,0.568627,TP,0.374438,1.028,True
64,212,0.330049,TP,0.371406,0.987,True
65,213,0.574074,TP,0.355546,0.819,True
66,214,0.596939,TP,0.339684,0.839,True
67,215,0.48,TP,0.324363,0.997,True
68,216,0.512987,TP,0.325178,1.132,True
69,217,0.585714,TP,0.30992,1.22,True
70,218,0.589928,TP,0.334974,1.366,True
71,219,0.56,TP,0.342987,1.636,True
72,220,0.492188,TP,0.315006,1.974,True
73,221,0.519084,TP,0.303413,2.322,True
74,222,0.576271,TP,0.288319,2.628,True
75,223,0.375,TP,0.265935,2.872,True
76,224,0.442478,TP,0.233066,3.083,True
77,-1,0.0,FN,0.0,0.0,True
78,226,0.479675,TP,0.311,3.468,True
79,227,0.546218,TP,0.312019,3.664,True
80,228,0.490066,TP,0.283036,3.861,True
81,229,0.502674,TP,0.309553,4.052,True
82,229,0.427984,TP,0.336131,4.141,True
83,231,0.422642,TP,0.419129,4.553,True
84,231,0.414179,TP,0.431033,5.114,True
85,233,0.314176,TP,0.451917,6.026,True
86,233,0.375427,TP,0.445259,6.309,True
87,234,0.444444,TP,0.421775,7.432,True
88,234,0.452675,TP,0.412612,9.098,True
89,-1,0.0,TN,0.0,0.0,False
90,236,0.434109,FP,0.375524,11.736,False
91,-1,0.0,TN,0.0,0.0,False
92,-1,0.0,TN,0.0,0.0,False
93,-1,0.0,TN,0.0,0.0,False
94,-1,0.0,TN,0.0,0.0,False
95,-1,0.0,TN,0.0,0.0,False
96,-1,0.0,TN,0.0,0.0,False
97,-1,0.0,TN,0.0,0.0,False
98,-1,0.0,TN,0.0,0.0,False
99,-1,0.0,TN,0.0,0.0,False
100,-1,0.0,TN,0.0,0.0,False
101,-1,0.0,TN,0.0,0.0,False
102,-1,0.0,TN,0.0,0.0,False
103,-1,0.0,TN,0.0,0.0,False
104,-1,0.0,TN,0.0,0.0,False
105,-1,0.0,TN,0.0,0.0,False
106,-1,0.0,TN,0.0,0.0,False
107,873,0.388462,FP,0.36533,10.861,False
108,-1,0.0,FN,0.0,0.0,True
109,-1,0.0,FN,0.0,0.0,True
110,875,0.34589,TP,0.360163,9.46,True
111,-1,0.0,FN,0.0,0.0,True
112,-1,0.0,FN,0.0,0.0,True
113,-1,0.0,FN,0.0,0.0,True
114,880,0.420635,TP,0.376561,4.858,True
115,882,0.372951,TP,0.37743,3.285,True
116,883,0.37788,TP,0.362399,2.754,True
117,884,0.431034,TP,0.364522,2.202,True
118,885,0.414847,TP,0.37217,1.618,True
119,886,0.490909,TP,0.379563,0.914,True
120,887,0.454976,TP,0.390962,0.137,True
121,888,0.605405,TP,0.384373,0.746,True
122,889,0.533679,TP,0.388636,1.432,True
123,890,0.575581,TP,0.405513,2.029,True
